tweets
"RT @AP_Africa: As richer countries race to distribute COVID-19 vaccines, Somalia remains the rare place where much of the population hasn't…"
RT @KaitlinSmith11: @murray_nyc Trump administration action on covid: https://t.co/onkvGbWpzy
Covid really fucked up my week https://t.co/fFTLs8LjeX
"RT @shoaibm876: If any medical student die (due to COVID) while giving professional exam, then VC UHS, Controller of Examination and Board…"
"RT @DeePhunk: Earlier we ran into a family we’re cool w/ that live nearby. Two kids, like us. The dad works at a nearby hospital. He implor…"
RT @justice_sushi: 2020 was poisonous for me.I couldn't contact to anyone because my father was tested with Covid-19.His situation wasn't g…
"RT @CatsInFrance: Just a reminder, even with vaccinations against covid, for a long time yet, wash hands, keep your distance, wear a mask.…"
@RebekahFaidia @NateAmes9 @4realchris @GitDool @Santos4Congress Are you a) denying that trump got covid? (He says h… https://t.co/cXTVAsumlN
"RT @ItsMa____: How to treat Covid at home ... this was shared on a Covid survivor group...

HOW TO FIGHT COVID AT HOME
No one ever talks ab…"
"RT @KatyAllen4: @KirstieMAllsopp Kirstie, if any child you know had to live with the effects of long covid, you would definitely regret twe…"
"RT @ncbn: I offer my thanks and gratitude to scientists and teams at
@SerumInstIndia and @BharatBiotech for all their hard work and commitm…"
RT @nursekelsey: Recently we were transitioning a COVID patient off the ventilator &amp; allowing them to pass away. We pull up the iPad &amp; the…
Covid: Larry King ricoverato in ospedale - https://t.co/TbhslR3D8a
"RT @RachelNotley: The UCP Hawaii vacations during COVID-19 scandal has even made the Washington Post.

This is an international disgrace. T…"
"RT @MeghUpdates: Chene Not to disclose if Pork gelatin is used in its Covid vaccine 
Refuse to divulge Ingredients 
https://t.co/1x1Dzda1bU"
RT @piersmorgan: Watching high profile covid-deniers and down-players on here continue to spew their conspiracy theory crap even as cases &amp;…
RT @doctor_oxford: Shocked by this appallingly tin-eared tweet from @NHSEngland. People are dying of Covid all over Europe right now and -…
@TheBeaverton please tell me you wrote this https://t.co/PavLnbOTe1 @theJagmeetSingh @JustinTrudeau
"RT @Alozaps: @AlexBerenson Alex, you were doing so well for a while, and then you tweeted this. Elections clearly aren't your area of exper…"
"RT @TODAYshow: .@WillieGeist remembers #SundayTODAY lives well lived from this tragic year, including heroic doctors and American trailblaz…"
"Sorry, but I need to vent...my grandma found out she has Covid. Her life alert button just called me saying the but… https://t.co/aCRjt4klDH"
@Timcast Anyone who says masks don't work are happy /ok with 350k ppl dying from covid
"RT @IanDunt: Johnson's covid response is not based on deep seated love of English liberties. It's based on ineptitude, irresponsibility, a…"
"RT @ZBCNewsonline: Mpilo Hospital CEO Dr Solwayo Ngwenya: "" ... this new #Covid-19 variant is deadly; it can change its structure and rende…"
@akkitwts I want the doctor/nurse/healthcare professional to do that when I get the COVID vaccine 😁
"https://t.co/5LBLWauWoa

Zero Covid was obviously a viable strategy in Oceania. Asia has managed to maintain very l… https://t.co/RuVoW7opsv"
"@itssophiemorris In March everything stopped. House viewings, tradesman expect critical, people in offices. The roa… https://t.co/98Ci09jTHP"
RT @picardonhealth: Tears Are Not Enough: What Ontario Premier Doug Ford has (and hasn't) done since 'horrific' military report on care hom…
"RT @CJBowden1: ""Covid-19 masks ‘cause 👉plastic fibre inhalation👈 – but we should still use them’.

Some studies have found that the immune…"
RT @ECMcLaughlin: I’m thinking right now about the two people I blocked today for commenting that I shouldn’t “shame” my ex on social media…
