id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1331961637520064513,1331961637520064513,2020-11-26 19:32:55 India Standard Time,2020-11-26,19:32:55,+0530,1183037908611039239,bullsride,BullsRide,,#BJPGHMCManifesto 2019 Pulwama attack - 2019 Ahmed Patel underworld links in Maha elections Every elections cannot be made a communal war and win elections over dead bodies. So desperate that Modi is coming on pretext of Bharath Biotech to Hyderabad. Desperation at peaks,en,[],[],[],0,1,0,['bjpghmcmanifesto'],[],https://twitter.com/bullsride/status/1331961637520064513,False,,0,,,,,,,,[],,,,
1331257045446692865,1331257045446692865,2020-11-24 20:53:07 India Standard Time,2020-11-24,20:53:07,+0530,1095893135396405248,tg2ma,PR,,"Maamulu brainwash chesthaleru pacha media....  Covid vaccine ata....Bharath Biotech ata....daaniki CBN vesina punaadi kaaranam ata...  Eee lekkana deshaaniki swaathanthram techina congress ollu, communistlu yemani cheppukovaaley mari ???",in,[],[],[],1,0,4,[],[],https://twitter.com/TG2MA/status/1331257045446692865,False,https://twitter.com/ashok9786_/status/1331251903833968642,0,,,,,,,,[],,,,
1331091729152241669,1331072058000719874,2020-11-24 09:56:13 India Standard Time,2020-11-24,09:56:13,+0530,228247882,saisuraj143,Sai Suraj,,"@SurrealZak As of now astrazenica,sputnik,bharath biotech and 2 more has deals with India",en,[],[],[],1,0,0,[],[],https://twitter.com/saisuraj143/status/1331091729152241669,False,,0,,,,,,,,"[{'screen_name': 'SurrealZak', 'name': 'Why So Serious !', 'id': '923903997425025025'}]",,,,
1330949279955881984,1330949263660965889,2020-11-24 00:30:10 India Standard Time,2020-11-24,00:30:10,+0530,1240561169296814080,covid19indiaorg,covid19indiaorg,,"Other vaccines to note: ➡️ Covaxin by Bharath Biotech/ICMR, under Phase 3 trials. ➡️ Sputnik V with 92% efficacy as per Russia, also under Phase 3 trials in India. ➡️ Covovax by Novovax in partnership with SII. ➡️ Moderna and Pfizer - No clarity on purchase agreement.  8/9",en,[],[],[],1,1,27,[],[],https://twitter.com/covid19indiaorg/status/1330949279955881984,False,,0,,,,,,,,[],,,,
1330798605070860288,1316585370805366792,2020-11-23 14:31:27 India Standard Time,2020-11-23,14:31:27,+0530,15132089,ammu_maanu,anbudan BALA🎶எ.அ.பாலா,,"7/ #COVID19 #CovidVaccine  The vaccine developed by #Oxford Univ. &amp; British pharmaceutical AstraZeneca was found to have an avg. efficacy rate of 70%. India can depend only on this &amp; our own #Bharath BioTech vaccine. #Moderna, #Pfizer vaccines have been booked by advanced nations",en,[],[],[],1,0,0,"['covid19', 'covidvaccine', 'oxford', 'bharath', 'moderna', 'pfizer']",[],https://twitter.com/AmmU_MaanU/status/1330798605070860288,False,,0,,,,,,,,[],,,,
1330766037529161732,1330592443922870273,2020-11-23 12:22:02 India Standard Time,2020-11-23,12:22:02,+0530,352927316,manjunath_maha,manjumaha,,@manavjivan @ReallySwara Add Bharath Biotech also,cy,[],[],[],1,0,1,[],[],https://twitter.com/Manjunath_Maha/status/1330766037529161732,False,,0,,,,,,,,"[{'screen_name': 'manavjivan', 'name': 'manav', 'id': '1175047638'}, {'screen_name': 'ReallySwara', 'name': 'Swara Bhasker', 'id': '1546101560'}]",,,,
1330706653184880641,1330706653184880641,2020-11-23 08:26:04 India Standard Time,2020-11-23,08:26:04,+0530,484914814,eastcoastindia,EastCoast,,"If Covaxin by Bharath Biotech effextiveness is just 60%, then, how it would be successful? Other vaccines effectiveness is beyond 90% right?? Did Bharath Biotech failed in producing the vaccine??",en,[],[],[],4,1,6,[],[],https://twitter.com/EastCoastIndia/status/1330706653184880641,False,,0,,,,,,,,[],,,,
1330531666662551553,1330474436483567617,2020-11-22 20:50:44 India Standard Time,2020-11-22,20:50:44,+0530,1330143048009986052,ayushtroller,Quackmed Troller,,@Saffronknight4 @SmokeySmriti Also bharath biotech is making a vaccine,en,[],[],[],1,0,0,[],[],https://twitter.com/ayushtroller/status/1330531666662551553,False,,0,,,,,,,,"[{'screen_name': 'Saffronknight4', 'name': 'Saffron knight with trident', 'id': '1309399028057149440'}]",,,,
1330463910340734977,1330463910340734977,2020-11-22 16:21:29 India Standard Time,2020-11-22,16:21:29,+0530,393873781,cjaichandra,Jaya Chandra Reddy. C,,No caption.. picture defines everything #covaxin #bharathbiotech @moderna_tx  https://t.co/zBKXHF06iE,en,"[{'screen_name': 'moderna_tx', 'name': 'moderna', 'id': '2227355222'}]",[],['https://pbs.twimg.com/media/EnbB3-QVEAA1OJM.jpg'],0,0,0,"['covaxin', 'bharathbiotech']",[],https://twitter.com/cjaichandra/status/1330463910340734977,False,,1,https://pbs.twimg.com/media/EnbB3-QVEAA1OJM.jpg,,,,,,,[],,,,
1330366473663967234,1330366473663967234,2020-11-22 09:54:18 India Standard Time,2020-11-22,09:54:18,+0530,1147067289507782656,anilbhatortho,Dr. Anil Bhat,,"#Covid #Vaccine for India:still a long way to go ...? July next year   🍁Pfizer / Moderna vaccine pre booked by rich countries, expensive &amp; requires storage in extremely cold conditions  🍁Wait is for Oxford/ Sputnik with Indian partners or our own by Bharath biotech/ Zydus  https://t.co/F8kmdExSz3",en,[],[],['https://pbs.twimg.com/media/EnZpPIZWEAcO_xj.jpg'],3,1,25,"['covid', 'vaccine']",[],https://twitter.com/anilbhatortho/status/1330366473663967234,False,,1,https://pbs.twimg.com/media/EnZpPIZWEAcO_xj.jpg,,,,,,,[],,,,
